case	distancePaper	distanceNosotros	optimos
8537	1566	1165	1443
8538	2868	1976	2374
8539	0	3440	3955
8540	0	569	746
8541	0	4313	5036
8542	1582	727	1441
8543	1780	1191	1648
8544	5599	3786	4410
8545	1597	1201	1316
8546	4199	3147	3771
8547	1682	1033	1301
8548	1582	696	1377
8549	5499	3255	3940
8550	2999	2270	2719
8551	0	5282	6126
8552	1396	638	1285
8553	0	518	785
8554	3562	2400	2787
8555	1979	1503	1783
8556	5999	3589	4308
8557	975	612	719
8558	5199	3166	3965
8559	1798	1159	1614
8560	3499	2401	2965
8561	0	3552	4156
8562	5444	3748	4465
8563	0	2472	3217
8564	1196	572	709
8565	0	644	824
8566	0	4418	5207
8567	1075	798	973
8568	4098	2661	3266
8569	2499	1777	2162
8570	4599	2791	3530
8571	4799	3519	3986
8572	1699	979	1519
8573	1482	874	1163
8574	2999	1474	2111
8575	1598	1122	1347
8576	1451	1014	1175
8577	0	1104	1399
8578	0	1156	1777
8579	3398	1897	2411
8580	6799	5236	5863
8581	0	535	731
8582	1880	1332	1685
8583	1064	708	979
8584	1467	912	1349
8585	4199	3375	3834
8586	5499	4263	5000
8587	2399	1732	2170
8588	2699	1857	2380
8589	4398	3094	3586
8590	0	994	1261
8591	3097	2022	2598
8592	2798	2061	2528
8593	5899	4240	4872
8594	2697	1919	2276
8595	2473	1509	2032
8596	4999	3726	4326
8597	1779	888	1246
8598	1999	1373	1737
8599	3399	2274	2626
8600	2177	1692	1969
8601	5699	4495	5096
8602	2498	1880	2241
8603	0	462	629
8604	5399	4028	4705
8605	989	468	898
8606	352	370	726
8607	0	5387	6209
8608	1367	642	1264
8609	1797	1041	1538
8610	3563	2075	2487
8611	1582	855	1291
8612	1662	1334	1509
8613	1581	749	1433
8614	2398	1413	1926
8615	0	505	676
8616	0	2164	2509
8617	2098	1249	1878
8618	2098	1442	1709
8619	2498	1823	2165
8620	3399	2178	2710
8621	1395	659	1307
8622	1185	703	980
8623	4899	3893	4430
8624	1743	1122	1428
8625	1368	1059	1231
8626	2598	1742	2114
8627	1798	983	1634
8628	1398	615	1271
8629	5999	3915	4578
8630	3099	2234	2603
8631	4099	3192	3583
8632	4157	2479	3011
8633	1183	920	1103
8634	2398	1205	1659
8635	2771	1646	2185
8636	2297	1784	2051
8637	2098	1280	1906
8638	756	544	725
8639	5299	3818	4389
8640	583	361	547
8641	4157	3245	3692
8642	1184	537	1088
8643	6199	4029	4638
8644	2199	1466	1989
8645	1999	1496	1847
8646	1582	694	1415
8647	3899	2628	3121
8648	0	405	585
8649	3879	2407	2984
8650	4354	3119	3663
8651	0	2405	2874
8652	0	1976	2487
8653	266	285	557
8654	4499	3425	3987
8655	3899	2206	2696
8656	1597	1173	1462
8657	997	451	902
8658	4599	2318	2955
8659	1979	1066	1523
8660	1281	949	1123
8661	3599	2430	3016
8662	2598	1928	2297
8663	4099	2534	3104
8664	1099	790	933
8665	6799	5104	5755
8666	0	2540	3238
8667	2799	1734	2216
8668	133	415	544
8669	5299	3546	4274
8670	2298	1586	1894
8671	3959	3109	3558
8672	2841	2084	2621
8673	4899	3284	3879
8674	1696	973	1236
8675	0	566	739
8676	4999	3222	3694
8677	595	345	532
8678	89	376	531
8679	1199	906	1078
8680	1271	868	1060
8681	1566	718	1435
8682	1956	1194	1394
8683	3068	2176	2813
8684	987	454	911
8685	2253	1219	1534
8686	5198	3553	4253
8687	3698	2443	2979
8688	3399	1956	2504
8689	2198	1430	1780
8690	2899	1799	2423
8691	1175	922	1088
8692	1296	871	1165
8693	182	187	375
8694	0	1003	1331
8695	1065	563	795
8696	3098	2212	2585
8697	0	529	705
8698	1465	810	1168
8699	3799	2436	3060
8700	3999	2308	2963
8701	2399	1701	2024
8702	1998	1640	1821
8703	2199	1466	1980
8704	2198	1624	1992
8705	0	4471	5056
8706	1182	566	1119
8707	1368	956	1179
8708	2898	2191	2653
8709	240	263	525
8710	5999	4599	5294
8711	1197	548	1088
8712	1797	1286	1557
8713	2275	1350	2065
8714	2643	1884	2362
8715	1599	1194	1475
8716	1978	1143	1731
8717	2743	1645	2148
8718	0	2966	3324
8719	993	470	909
8720	4999	3411	4105
8721	3699	2513	2890
8722	6399	4778	5519
8723	2097	1118	1629
8724	0	423	611
8725	181	188	383
8726	1088	653	876
8727	1596	710	1410
8728	3699	2249	2660
8729	3563	2786	3126
8730	7099	5592	6231
8731	157	249	430
8732	2499	1465	1834
8733	977	727	888
8734	3599	2741	3270
8735	1088	718	978
8736	0	937	1403
8737	3099	2015	2532
8738	2599	1594	1896
8739	1596	715	1419
8740	3363	2502	3044
8741	3397	1876	2267
8742	3499	2566	2903
8743	1699	997	1113
8744	1199	548	1034
8745	0	701	810
8746	1798	1103	1655
8747	1498	1076	1337
8748	246	428	714
8749	3398	2245	2723
8750	0	921	1111
8751	1175	789	909
8752	171	274	460
8753	2699	1952	2396
8754	1798	1078	1530
8755	0	841	1118
8756	2274	1348	1658
8757	2698	1563	2083
8758	3662	2383	3064
8759	2176	1245	1622
8760	3399	2648	3113
8761	4498	3083	3527
8762	3898	2763	3319
8763	3199	2236	2772
8764	3199	2267	2819
8765	3999	3033	3538
8766	4299	2866	3499
8767	4599	3290	3998
8768	5299	4029	4571
8769	0	3849	4429
8770	4898	3431	4163
8771	1195	562	1102
8772	3399	1965	2743
8773	1495	1183	1375
8774	0	3420	4157
8775	0	455	730
8776	1199	701	1068
8777	433	451	915
8778	5939	4056	4711
8779	2398	1383	2073
8780	1198	546	1080
8781	3399	2636	3080
8782	1566	1145	1407
8783	1599	727	1439
8784	5099	3347	4067
8785	3397	2604	3036
8786	0	1120	1478
8787	4199	2717	3312
8788	4849	3585	4232
8789	357	368	736
8790	1468	885	1251
8791	0	923	1403
8792	2697	1900	2303
8793	4299	3090	3792
8794	1186	546	1080
8795	1567	905	1255
8796	0	4263	4929
8797	0	511	794
8798	4599	3036	3503
8799	4198	3428	3891
8800	1484	996	1361
8801	997	433	887
8802	0	1041	1327
8803	0	547	746
8804	0	1738	1954
8805	880	526	789
8806	1499	1203	1384
8807	2699	1914	2240
8808	2228	1645	2006
8809	0	1178	1346
8810	159	178	354
8811	5198	3672	4325
8812	2771	1842	2224
8813	2399	1960	2233
8814	2299	1355	2065
8815	1453	976	1217
8816	4498	2245	2805
8817	146	250	438
8818	2798	1669	2300
8819	2275	1708	2081
8820	4598	3598	4097
8821	3760	2766	3302
8822	2296	1717	2090
8823	2098	1246	1881
8824	2798	1942	2211
8825	3399	2196	2875
8826	2474	1805	2260
8827	989	517	745
8828	1496	891	1121
8829	0	1201	1498
8830	1998	1166	1787
8831	2176	1598	1971
8832	1998	1128	1562
8833	0	737	1194
8834	1497	806	1239
8835	4999	3119	3765
8836	1595	1071	1444
8837	150	180	360
8838	1186	677	997
8839	5999	3625	4442
8840	0	1834	2239
8841	0	729	912
8842	4399	3232	3974
8843	2297	1735	1913
8844	5048	3521	4134
8845	0	569	753
8846	1399	973	1224
8847	0	3047	3528
8848	0	1432	1698
8849	1185	900	1070
8850	1582	989	1224
8851	1084	521	817
8852	5099	3855	4332
8853	3699	2476	3106
8854	4399	3423	3936
8855	5199	3349	4060
8856	6899	4664	5470
8857	5499	3710	4210
8858	2276	1360	1605
8859	5299	3871	4646
8860	1597	720	1441
8861	0	2778	3353
8862	1196	554	1075
8863	1369	651	1270
8864	4399	3174	3598
8865	344	359	707
8866	1579	1229	1427
8867	1596	1050	1403
8868	2299	1522	1892
8869	0	2029	2638
8870	1381	634	1271
8871	2999	2052	2572
8872	2199	1740	2017
8873	233	253	522
8874	1482	1181	1357
8875	242	428	696
8876	0	705	993
8877	1958	1394	1741
8878	2697	1772	2137
8879	0	2413	2813
8880	0	984	1225
8881	3899	2238	2923
8882	2098	1110	1678
8883	0	817	1270
8884	4999	3890	4423
8885	4652	2801	3534
8886	4899	3489	4011
8887	5099	3864	4538
8888	1898	1388	1537
8889	4454	3361	3976
8890	1598	1165	1333
8891	3799	2318	2933
8892	6199	3846	4586
8893	5699	4605	5156
8894	1797	1337	1607
8895	2198	1276	1639
8896	0	1909	2356
8897	344	360	719
8898	0	700	996
8899	929	439	866
8900	3499	2314	2873
8901	1580	724	1413
8902	6499	4475	5251
8903	0	1934	2503
8904	6399	4576	5268
8905	2199	1224	1919
8906	2998	2015	2743
8907	2672	1683	2029
8908	1629	1212	1405
8909	1579	732	1441
8910	1699	1256	1509
8911	1744	1055	1342
8912	1727	1260	1607
8913	2798	2117	2467
8914	3662	2298	2909
8915	175	182	372
8916	4198	2838	3508
8917	786	396	563
8918	4213	3068	3472
8919	1356	974	1178
8920	786	362	694
8921	1779	1308	1559
8922	347	360	728
8923	3298	2367	2994
8924	5499	3992	4615
8925	756	361	527
8926	0	349	529
8927	0	4001	4572
8928	0	990	1355
8929	4099	2633	3241
8930	0	3778	4520
8931	2396	1363	2000
8932	0	760	1109
8933	2898	1754	2280
8934	1781	1094	1505
8935	1184	545	1070
8936	2473	1527	2087
8937	0	2369	2854
8938	1481	962	1267
8939	1371	629	1274
8940	1484	854	1182
8941	5399	3603	4196
8942	1498	1005	1367
8943	798	436	708
8944	2898	1861	2168
8945	2999	1788	2340
8946	3199	2244	2818
8947	0	3273	4026
8948	1197	667	1011
8949	5599	3847	4509
8950	0	2319	2678
8951	1580	730	1452
8952	1799	1233	1611
8953	3998	2747	3264
8954	1599	736	1475
8955	3498	2587	3131
8956	3099	2048	2680
8957	2299	1340	1987
8958	2699	1941	2464
8959	1356	784	1147
8960	0	1085	1206
8961	1999	1166	1775
8962	1064	660	887
8963	3798	2852	3392
8964	5699	4333	4971
8965	0	650	907
8966	0	3979	4593
8967	2999	1748	2565
8968	6199	4510	5222
8969	4299	3009	3597
8970	1352	1067	1224
8971	0	838	1101
8972	4399	2944	3491
8973	1499	876	1173
8974	5199	3610	4193
8975	4998	3756	4475
8976	0	3871	4422
8977	3899	2286	2848
8978	2998	2364	2694
8979	0	554	803
8980	1899	1225	1668
8981	4058	2819	3407
8982	1951	1055	1275
8983	2096	1365	1896
8984	1384	806	1092
8985	2298	1008	1431
8986	179	189	361
8987	2798	1796	2136
8988	4599	3019	3587
8989	2472	1840	2145
8990	0	749	1101
8991	6799	4412	5336
8992	3298	2435	2919
8993	160	174	339
8994	158	169	352
8995	5099	3733	4388
8996	2474	1974	2228
8997	1898	1083	1696
8998	1399	805	1250
8999	3799	2540	3151
9000	0	1533	1988
9001	1597	1257	1457
9002	2743	2066	2508
9003	5099	3459	4052
9004	1877	1200	1613
9005	796	558	734
9006	3999	2905	3537
9007	1798	937	1287
9008	1199	870	1143
9009	782	549	727
9010	0	4614	5235
9011	0	3864	4528
9012	460	474	927
9013	4099	2555	3121
9014	0	3391	3908
9015	3198	1938	2579
9016	2099	1358	1894
9017	2599	1655	2120
9018	1598	997	1255
9019	0	904	1113
9020	4499	3037	3737
9021	0	3689	4103
